Date,SHEL,CVX,BP,XOM,XEL,TSLA,IBDRY,JKS
2017-03-21 00:00:00-04:00,39.74859619,84.25057983,24.48240662,61.16558456,37.91219711,16.71199989,21.75637054,15.89000034
2017-03-22 00:00:00-04:00,39.61289978,84.52349854,24.30364799,61.11328125,38.04040146,17.00066757,22.06258011,15.78999996
2017-03-23 00:00:00-04:00,39.54505539,84.11799622,24.35370064,61.18801117,38.10022736,16.98533249,21.93695641,15.89000034
2017-03-24 00:00:00-04:00,39.2435379,84.211586,24.15348625,60.71710587,38.26259995,17.54400063,21.98406792,16.19000053
2017-03-25 00:00:00-04:00,39.2435379,84.211586,24.15348625,60.71710587,38.26259995,17.54400063,21.98406792,16.19000053
2017-03-26 00:00:00-04:00,39.2435379,84.211586,24.15348625,60.71710587,38.26259995,17.54400063,21.98406792,16.19000053
2017-03-27 00:00:00-04:00,39.40183258,82.87810516,24.13204002,60.73205948,38.26259995,18.01466751,22.43945313,16.61000061
2017-03-28 00:00:00-04:00,39.83904266,83.57211304,24.25358963,61.17307663,38.39936066,18.49666786,22.37664032,16.70999908
2017-03-29 00:00:00-04:00,40.12550735,84.27397156,24.61825371,61.30760193,38.00621033,18.49200058,22.26671982,16.27000046
2017-03-30 00:00:00-04:00,39.95211792,84.04779816,24.68261147,62.56336975,37.86947632,18.52799988,22.25101662,16.26000023
2017-03-31 00:00:00-04:00,39.74859619,83.72808838,24.68261147,61.30014038,37.9891243,18.55333328,22.45515251,16.56999969
2017-04-01 00:00:00-04:00,39.74859619,83.72808838,24.68261147,61.30014038,37.9891243,18.55333328,22.45515251,16.56999969
2017-04-02 00:00:00-04:00,39.74859619,83.72808838,24.68261147,61.30014038,37.9891243,18.55333328,22.45515251,16.56999969
2017-04-03 00:00:00-04:00,39.46967697,84.06341553,24.59680557,61.34498215,37.94638443,19.90133286,22.29812241,16.72999954
2017-04-04 00:00:00-04:00,39.83904266,84.73403931,24.87566948,61.56922913,38.04040146,20.24666786,22.28242302,16.65999985
2017-04-05 00:00:00-04:00,39.68828964,84.71846008,24.73265457,61.6888237,38.30534363,19.66666794,22.34523201,16.52000046
2017-04-06 00:00:00-04:00,40.02750397,85.22532654,24.83276176,62.04759598,38.10877228,19.91333389,22.60433388,16.77000046
2017-04-07 00:00:00-04:00,40.15564728,84.89002228,24.91857147,61.86074066,37.94638443,20.1693325,22.49441147,16.69000053
2017-04-08 00:00:00-04:00,40.15564728,84.89002228,24.91857147,61.86074066,37.94638443,20.1693325,22.49441147,16.69000053
2017-04-09 00:00:00-04:00,40.15564728,84.89002228,24.91857147,61.86074066,37.94638443,20.1693325,22.49441147,16.69000053
2017-04-10 00:00:00-04:00,40.26872253,85.33449554,25.09016991,62.1373024,38.10022736,20.82600021,22.32952881,17.15999985
2017-04-11 00:00:00-04:00,40.48732758,84.97579956,25.29037476,61.92053223,38.10022736,20.5806675,22.35308456,17.25
2017-04-12 00:00:00-04:00,40.2837944,84.97579956,25.34757805,62.01772308,38.37371063,19.78933334,22.47870827,17.03000069
2017-04-13 00:00:00-04:00,39.50737381,82.73773956,25.01867104,61.06094742,38.30534363,20.26666641,22.22746277,17.25
2017-04-14 00:00:00-04:00,39.50737381,82.73773956,25.01867104,61.06094742,38.30534363,20.26666641,22.22746277,17.25
2017-04-15 00:00:00-04:00,39.50737381,82.73773956,25.01867104,61.06094742,38.30534363,20.26666641,22.22746277,17.25
2017-04-16 00:00:00-04:00,39.50737381,82.73773956,25.01867104,61.06094742,38.30534363,20.26666641,22.22746277,17.25
2017-04-17 00:00:00-04:00,39.90689468,82.79234314,25.04726791,60.97872925,38.52755356,20.09600067,22.47086143,17.26000023
2017-04-18 00:00:00-04:00,39.54505539,82.41020966,24.78986168,60.58256531,38.54463577,20.01666641,22.41589928,17.53000069
2017-04-19 00:00:00-04:00,38.60279083,81.27950287,24.41090202,60.16397095,38.28824615,20.36800003,21.99191856,16.95000076
2017-04-20 00:00:00-04:00,38.67817688,81.78636932,24.41805077,60.55268478,38.16005325,20.1673336,21.74066925,16.63999939
2017-04-21 00:00:00-04:00,38.75356293,81.79417419,24.31079483,60.31348801,38.31389618,20.37333298,21.88984871,16.64999962
2017-04-22 00:00:00-04:00,38.75356293,81.79417419,24.31079483,60.31348801,38.31389618,20.37333298,21.88984871,16.64999962
2017-04-23 00:00:00-04:00,38.75356293,81.79417419,24.31079483,60.31348801,38.31389618,20.37333298,21.88984871,16.64999962
2017-04-24 00:00:00-04:00,39.40183258,82.60516357,24.63256264,60.62740707,38.47627258,20.53533363,22.95764732,17.20999908
2017-04-25 00:00:00-04:00,39.76366043,83.22900391,24.78270912,61.09086227,38.46771622,20.9193325,22.72995567,17.03000069
2017-04-26 00:00:00-04:00,39.49983215,82.72215271,24.78270912,60.8441925,38.32243729,20.6779995,22.32168198,17.26000023
2017-04-27 00:00:00-04:00,39.29630661,82.24646759,24.59680557,60.73953247,38.57028198,20.57533264,22.52581596,17.79999924
2017-04-28 00:00:00-04:00,39.34152603,83.20562744,24.53960037,61.03105927,38.50191498,20.93799973,22.55722427,17.34000015
2017-04-29 00:00:00-04:00,39.34152603,83.20562744,24.53960037,61.03105927,38.50191498,20.93799973,22.55722427,17.34000015
